 Tempo totale (Ma):   0.000000
  Elemento    Coordinata X    Coordinata Y         Hr       Cond.   Densità         Cp           alpha       Pressione  Pressione lito  Temperatura      Divergenza   Shear Heating     Ad. Heating
        60          0.9750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         0.50000E-01     0.50000E-01       0.0000     0.41596E-16     0.36125         -0.0000    
        61          1.0250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.50000E-01      0.0000           0.0000    -0.32589E-15     0.36125         -0.0000    
        62          1.0750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.15000          0.0000           0.0000     0.13536E-15     0.36125         -0.0000    
        63          1.1250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.25000          0.0000           0.0000     0.32675E-15     0.36125         -0.0000    
        64          1.1750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.35000          0.0000           0.0000    -0.12939E-15     0.36125         -0.0000    
        65          1.2250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.45000          0.0000           0.0000     0.79463E-15     0.36125          0.0000    
        66          1.2750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.55000          0.0000           0.0000     0.41150E-15     0.36125          0.0000    
        67          1.3250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.65000          0.0000           0.0000     0.49063E-15     0.36125          0.0000    
        68          1.3750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.75000          0.0000           0.0000     0.36578E-15     0.36125          0.0000    
        69          1.4250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.85000          0.0000           0.0000     0.65510E-15     0.36125          0.0000    
        70          1.4750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.95000          0.0000           0.0000     0.74572E-15     0.36125          0.0000    
        71          1.5250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.0500          0.0000           0.0000     0.51706E-15     0.36125          0.0000    
        72          1.5750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.1500          0.0000           0.0000     0.79956E-15     0.36125          0.0000    
        73          1.6250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.2500          0.0000           0.0000     0.83610E-15     0.36125          0.0000    
        74          1.6750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.3500          0.0000           0.0000     0.72445E-15     0.36125          0.0000    
        75          1.7250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.4500          0.0000           0.0000     0.13474E-14     0.36125         -0.0000    
        76          1.7750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.5500          0.0000           0.0000     0.60375E-15     0.36125         -0.0000    
        77          1.8250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.6500          0.0000           0.0000     0.16089E-14     0.36125         -0.0000    
        78          1.8750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.7500          0.0000           0.0000     0.75517E-15     0.36125         -0.0000    
        79          1.9250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.8500          0.0000           0.0000     0.18627E-14     0.36125         -0.0000    
        80          1.9750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.9250          0.0000           0.0000     0.87632E-15     0.36125         -0.0000    
        81          0.0250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.9250          1.9250           0.0000    -0.22379E-14     0.28125          0.0000    
        82          0.0750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.8500          1.8500           0.0000    -0.12646E-14     0.28125          0.0000    
        83          0.1250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.7500          1.7500           0.0000    -0.83688E-15     0.28125          0.0000    
        84          0.1750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.6500          1.6500           0.0000    -0.13030E-14     0.28125         -0.0000    
        85          0.2250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.5500          1.5500           0.0000    -0.14702E-14     0.28125         -0.0000    
        86          0.2750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.4500          1.4500           0.0000    -0.11955E-14     0.28125         -0.0000    
        87          0.3250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.3500          1.3500           0.0000    -0.14579E-14     0.28125         -0.0000    
        88          0.3750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.2500          1.2500           0.0000    -0.62179E-15     0.28125          0.0000    
        89          0.4250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.1500          1.1500           0.0000    -0.89212E-15     0.28125          0.0000    
        90          0.4750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000          1.0500          1.0500           0.0000    -0.10379E-15     0.28125          0.0000    
        91          0.5250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.95000         0.95000           0.0000    -0.12084E-14     0.28125         -0.0000    
        92          0.5750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.85000         0.85000           0.0000    -0.25388E-15     0.28125         -0.0000    
        93          0.6250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.75000         0.75000           0.0000    -0.48568E-15     0.28125         -0.0000    
        94          0.6750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.65000         0.65000           0.0000    -0.41282E-15     0.28125         -0.0000    
        95          0.7250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.55000         0.55000           0.0000    -0.35262E-15     0.28125         -0.0000    
        96          0.7750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.45000         0.45000           0.0000    -0.50616E-15     0.28125         -0.0000    
        97          0.8250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.35000         0.35000           0.0000     0.19479E-15     0.28125         -0.0000    
        98          0.8750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.25000         0.25000           0.0000    -0.44933E-15     0.28125         -0.0000    
        99          0.9250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.15000         0.15000           0.0000    -0.10494E-15     0.28125          0.0000    
       100          0.9750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         0.50000E-01     0.50000E-01       0.0000    -0.17396E-15     0.28125         -0.0000    
       101          1.0250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.50000E-01      0.0000           0.0000    -0.27319E-15     0.28125         -0.0000    
       102          1.0750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.15000          0.0000           0.0000     0.53695E-15     0.28125         -0.0000    
       103          1.1250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.25000          0.0000           0.0000     0.39836E-15     0.28125         -0.0000    
       104          1.1750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.35000          0.0000           0.0000     0.46977E-15     0.28125          0.0000    
       105          1.2250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.45000          0.0000           0.0000     0.46092E-15     0.28125          0.0000    
       106          1.2750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.55000          0.0000           0.0000     0.64668E-15     0.28125          0.0000    
       107          1.3250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.65000          0.0000           0.0000     0.42323E-15     0.28125          0.0000    
       108          1.3750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.75000          0.0000           0.0000     0.41411E-15     0.28125          0.0000    
       109          1.4250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.85000          0.0000           0.0000     0.69200E-15     0.28125          0.0000    
       110          1.4750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.95000          0.0000           0.0000     0.10365E-14     0.28125          0.0000    
       111          1.5250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.0500          0.0000           0.0000     0.26429E-15     0.28125          0.0000    
       112          1.5750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.1500          0.0000           0.0000     0.82376E-15     0.28125          0.0000    
       113          1.6250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.2500          0.0000           0.0000     0.84965E-15     0.28125          0.0000    
       114          1.6750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.3500          0.0000           0.0000     0.10456E-14     0.28125          0.0000    
       115          1.7250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.4500          0.0000           0.0000     0.75466E-15     0.28125         -0.0000    
       116          1.7750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.5500          0.0000           0.0000     0.15370E-14     0.28125         -0.0000    
       117          1.8250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.6500          0.0000           0.0000     0.75473E-15     0.28125         -0.0000    
       118          1.8750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.7500          0.0000           0.0000     0.16172E-14     0.28125         -0.0000    
       119          1.9250          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.8500          0.0000           0.0000     0.92876E-15     0.28125         -0.0000    
       120          1.9750          0.1250     0.0000     4.1500     1.0000     1.0000      0.0000         -1.9250          0.0000           0.0000     0.21084E-14     0.28125         -0.0000    
       121          0.0250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000          1.9250          1.9250           0.0000    -0.89889E-15     0.21125          0.0000    
       122          0.0750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000          1.8500          1.8500           0.0000    -0.10208E-14     0.21125          0.0000    
       123          0.1250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000          1.7500          1.7500           0.0000    -0.65458E-16     0.21125         -0.0000    
       124          0.1750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000          1.6500          1.6500           0.0000    -0.14979E-14     0.21125         -0.0000    
       125          0.2250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000          1.5500          1.5500           0.0000    -0.10039E-14     0.21125         -0.0000    
       126          0.2750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000          1.4500          1.4500           0.0000    -0.16415E-14     0.21125         -0.0000    
       127          0.3250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000          1.3500          1.3500           0.0000    -0.11894E-14     0.21125         -0.0000    
       128          0.3750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000          1.2500          1.2500           0.0000    -0.13798E-14     0.21125          0.0000    
       129          0.4250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000          1.1500          1.1500           0.0000    -0.63374E-15     0.21125          0.0000    
       130          0.4750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000          1.0500          1.0500           0.0000    -0.51931E-15     0.21125          0.0000    
       131          0.5250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         0.95000         0.95000           0.0000    -0.47181E-15     0.21125         -0.0000    
       132          0.5750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         0.85000         0.85000           0.0000    -0.15648E-14     0.21125         -0.0000    
       133          0.6250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         0.75000         0.75000           0.0000    -0.41904E-15     0.21125         -0.0000    
       134          0.6750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         0.65000         0.65000           0.0000    -0.62160E-15     0.21125         -0.0000    
       135          0.7250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         0.55000         0.55000           0.0000     0.39914E-15     0.21125         -0.0000    
       136          0.7750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         0.45000         0.45000           0.0000    -0.23615E-15     0.21125         -0.0000    
       137          0.8250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         0.35000         0.35000           0.0000    -0.74848E-16     0.21125         -0.0000    
       138          0.8750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         0.25000         0.25000           0.0000     0.69766E-16     0.21125         -0.0000    
       139          0.9250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         0.15000         0.15000           0.0000    -0.21299E-15     0.21125         -0.0000    
       140          0.9750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         0.50000E-01     0.50000E-01       0.0000     0.33797E-15     0.21125         -0.0000    
       141          1.0250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.50000E-01      0.0000           0.0000     0.73372E-16     0.21125         -0.0000    
       142          1.0750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.15000          0.0000           0.0000    -0.25689E-15     0.21125         -0.0000    
       143          1.1250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.25000          0.0000           0.0000     0.14144E-14     0.21125         -0.0000    
       144          1.1750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.35000          0.0000           0.0000     0.26717E-15     0.21125          0.0000    
       145          1.2250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.45000          0.0000           0.0000     0.49278E-15     0.21125          0.0000    
       146          1.2750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.55000          0.0000           0.0000     0.86770E-15     0.21125          0.0000    
       147          1.3250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.65000          0.0000           0.0000     0.60961E-15     0.21125          0.0000    
       148          1.3750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.75000          0.0000           0.0000     0.23242E-15     0.21125          0.0000    
       149          1.4250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.85000          0.0000           0.0000     0.96814E-15     0.21125          0.0000    
       150          1.4750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.95000          0.0000           0.0000     0.67708E-15     0.21125          0.0000    
       151          1.5250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.0500          0.0000           0.0000     0.58489E-15     0.21125          0.0000    
       152          1.5750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.1500          0.0000           0.0000     0.22675E-15     0.21125          0.0000    
       153          1.6250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.2500          0.0000           0.0000     0.16664E-14     0.21125          0.0000    
       154          1.6750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.3500          0.0000           0.0000     0.77459E-15     0.21125          0.0000    
       155          1.7250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.4500          0.0000           0.0000     0.11798E-14     0.21125         -0.0000    
       156          1.7750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.5500          0.0000           0.0000     0.68677E-15     0.21125         -0.0000    
       157          1.8250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.6500          0.0000           0.0000     0.89803E-15     0.21125         -0.0000    
       158          1.8750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.7500          0.0000           0.0000     0.84404E-15     0.21125         -0.0000    
       159          1.9250          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.8500          0.0000           0.0000     0.14609E-14     0.21125         -0.0000    
       160          1.9750          0.1750     0.0000     4.1500     1.0000     1.0000      0.0000         -1.9250          0.0000           0.0000     0.53832E-15     0.21125         -0.0000    
       161          0.0250          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000          1.9250          1.9250           0.0000    -0.29200E-14     0.15125          0.0000    
       162          0.0750          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000          1.8500          1.8500           0.0000    -0.24517E-16     0.15125          0.0000    
       163          0.1250          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000          1.7500          1.7500           0.0000    -0.81292E-15     0.15125         -0.0000    
       164          0.1750          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000          1.6500          1.6500           0.0000    -0.29721E-15     0.15125         -0.0000    
       165          0.2250          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000          1.5500          1.5500           0.0000    -0.18217E-14     0.15125         -0.0000    
       166          0.2750          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000          1.4500          1.4500           0.0000    -0.11185E-14     0.15125         -0.0000    
       167          0.3250          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000          1.3500          1.3500           0.0000    -0.11921E-14     0.15125         -0.0000    
       168          0.3750          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000          1.2500          1.2500           0.0000    -0.82539E-15     0.15125          0.0000    
       169          0.4250          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000          1.1500          1.1500           0.0000    -0.10443E-14     0.15125          0.0000    
       170          0.4750          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000          1.0500          1.0500           0.0000    -0.90058E-15     0.15125          0.0000    
       171          0.5250          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000         0.95000         0.95000           0.0000    -0.26059E-15     0.15125         -0.0000    
       172          0.5750          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000         0.85000         0.85000           0.0000    -0.69989E-15     0.15125         -0.0000    
       173          0.6250          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000         0.75000         0.75000           0.0000    -0.94062E-15     0.15125         -0.0000    
       174          0.6750          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000         0.65000         0.65000           0.0000    -0.17702E-15     0.15125         -0.0000    
       175          0.7250          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000         0.55000         0.55000           0.0000    -0.51227E-15     0.15125         -0.0000    
       176          0.7750          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000         0.45000         0.45000           0.0000    -0.42991E-15     0.15125         -0.0000    
       177          0.8250          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000         0.35000         0.35000           0.0000    -0.38161E-15     0.15125         -0.0000    
       178          0.8750          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000         0.25000         0.25000           0.0000     0.31926E-15     0.15125         -0.0000    
       179          0.9250          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000         0.15000         0.15000           0.0000    -0.12757E-15     0.15125         -0.0000    
       180          0.9750          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000         0.50000E-01     0.50000E-01       0.0000     0.80681E-15     0.15125         -0.0000    
       181          1.0250          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.50000E-01      0.0000           0.0000    -0.26411E-15     0.15125         -0.0000    
       182          1.0750          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.15000          0.0000           0.0000     0.71251E-16     0.15125         -0.0000    
       183          1.1250          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.25000          0.0000           0.0000     0.81226E-15     0.15125         -0.0000    
       184          1.1750          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.35000          0.0000           0.0000    -0.30284E-16     0.15125          0.0000    
       185          1.2250          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.45000          0.0000           0.0000     0.54940E-15     0.15125          0.0000    
       186          1.2750          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.55000          0.0000           0.0000     0.15154E-15     0.15125          0.0000    
       187          1.3250          0.2250     0.0000     4.1500     1.0000     1.0000      0.0000        -0.65000          0.0000           0.0000     0.52804E-15     0.15125          0.0000    
