 Tempo totale (Ma):   0.000015
      Nodo              Coordinata X              Coordinata Y                Velocità X                Velocità Y               Temperatura
        96                   0.74220                   0.00000                   0.00000                   0.00000                   0.99097
        97                   0.75000                   0.00000                   0.00000                   0.00000                   0.99097
        98                   0.75780                   0.00000                   0.00000                   0.00000                   0.99097
        99                   0.76560                   0.00000                   0.00000                   0.00000                   0.99097
       100                   0.77340                   0.00000                   0.00000                   0.00000                   0.99097
       101                   0.78120                   0.00000                   0.00000                   0.00000                   0.99097
       102                   0.78910                   0.00000                   0.00000                   0.00000                   0.99097
       103                   0.79690                   0.00000                   0.00000                   0.00000                   0.99097
       104                   0.80470                   0.00000                   0.00000                   0.00000                   0.99097
       105                   0.81250                   0.00000                   0.00000                   0.00000                   0.99097
       106                   0.82030                   0.00000                   0.00000                   0.00000                   0.99097
       107                   0.82810                   0.00000                   0.00000                   0.00000                   0.99097
       108                   0.83590                   0.00000                   0.00000                   0.00000                   0.99097
       109                   0.84380                   0.00000                   0.00000                   0.00000                   0.99097
       110                   0.85160                   0.00000                   0.00000                   0.00000                   0.99097
       111                   0.85940                   0.00000                   0.00000                   0.00000                   0.99097
       112                   0.86720                   0.00000                   0.00000                   0.00000                   0.99097
       113                   0.87500                   0.00000                   0.00000                   0.00000                   0.99097
       114                   0.88280                   0.00000                   0.00000                   0.00000                   0.99097
       115                   0.89060                   0.00000                   0.00000                   0.00000                   0.99097
       116                   0.89840                   0.00000                   0.00000                   0.00000                   0.99097
       117                   0.90620                   0.00000                   0.00000                   0.00000                   0.99097
       118                   0.91410                   0.00000                   0.00000                   0.00000                   0.99097
       119                   0.92190                   0.00000                   0.00000                   0.00000                   0.99097
       120                   0.92970                   0.00000                   0.00000                   0.00000                   0.99097
       121                   0.93750                   0.00000                   0.00000                   0.00000                   0.99097
       122                   0.94530                   0.00000                   0.00000                   0.00000                   0.99097
       123                   0.95310                   0.00000                   0.00000                   0.00000                   0.99097
       124                   0.96090                   0.00000                   0.00000                   0.00000                   0.99097
       125                   0.96880                   0.00000                   0.00000                   0.00000                   0.99097
       126                   0.97660                   0.00000                   0.00000                   0.00000                   0.99097
       127                   0.98440                   0.00000                   0.00000                   0.00000                   0.99097
       128                   0.99220                   0.00000                   0.00000                   0.00000                   0.99097
       129                   1.00000                   0.00000                   0.00000                   0.00000                   0.99097
       130                   0.00000                   0.00780                   0.00774                   0.00000                   0.97144
       131                   0.00780                   0.00780                   0.00774                   0.00000                   0.97144
