 Tempo totale (Ma):   0.000015
  Elemento    Coordinata X    Coordinata Y         Hr       Cond.   Densità         Cp           alpha       Pressione  Pressione lito  Temperatura       Viscosità   Shear Heating     Ad. Heating
        44          0.3398          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        45          0.3477          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        46          0.3555          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        47          0.3633          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        48          0.3711          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        49          0.3789          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        50          0.3867          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        51          0.3945          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        52          0.4023          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        53          0.4102          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        54          0.4180          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        55          0.4258          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        56          0.4336          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        57          0.4414          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        58          0.4492          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        59          0.4570          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        60          0.4648          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        61          0.4727          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        62          0.4805          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        63          0.4883          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        64          0.4961          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        65          0.5039          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        66          0.5117          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        67          0.5195          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        68          0.5273          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        69          0.5352          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        70          0.5430          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        71          0.5508          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        72          0.5586          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        73          0.5664          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        74          0.5742          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        75          0.5820          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        76          0.5898          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        77          0.5977          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        78          0.6055          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        79          0.6133          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        80          0.6211          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        81          0.6289          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        82          0.6367          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        83          0.6445          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        84          0.6523          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        85          0.6602          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        86          0.6680          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        87          0.6758          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        88          0.6836          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        89          0.6914          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        90          0.6992          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        91          0.7070          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        92          0.7148          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        93          0.7227          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        94          0.7305          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        95          0.7383          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
        96          0.7461          0.0039     0.9845     0.0000     1.0000     1.0000     0.30000E-04      0.0000          9.9610           0.9812      1.0000         0.98446          0.0000    
