           8 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          32 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          50 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         128 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         242 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         512 effective RAM needed for the factorization           1 Mb
effective RAM needed for the factorization:      1Mb (sum over all MPI processes)
         968 effective RAM needed for the factorization           2 Mb
effective RAM needed for the factorization:      2Mb (sum over all MPI processes)
        2048 effective RAM needed for the factorization           3 Mb
effective RAM needed for the factorization:      8Mb (sum over all MPI processes)
        4050 effective RAM needed for the factorization           7 Mb
effective RAM needed for the factorization:     12Mb (sum over all MPI processes)
        8192 effective RAM needed for the factorization          14 Mb
effective RAM needed for the factorization:     24Mb (sum over all MPI processes)
       16200 effective RAM needed for the factorization          18 Mb
effective RAM needed for the factorization:     44Mb (sum over all MPI processes)
       32768 effective RAM needed for the factorization          23 Mb
effective RAM needed for the factorization:     71Mb (sum over all MPI processes)
       65522 effective RAM needed for the factorization          38 Mb
effective RAM needed for the factorization:    141Mb (sum over all MPI processes)
      131072 effective RAM needed for the factorization          57 Mb
effective RAM needed for the factorization:    240Mb (sum over all MPI processes)
      262088 effective RAM needed for the factorization         103 Mb
effective RAM needed for the factorization:    452Mb (sum over all MPI processes)
      524288 effective RAM needed for the factorization         233 Mb
effective RAM needed for the factorization:    939Mb (sum over all MPI processes)
     1048352 effective RAM needed for the factorization         465 Mb
effective RAM needed for the factorization:   2277Mb (sum over all MPI processes)
     2097152 effective RAM needed for the factorization         889 Mb
effective RAM needed for the factorization:   3910Mb (sum over all MPI processes)
     4193408 effective RAM needed for the factorization        1775 Mb
effective RAM needed for the factorization:   8192Mb (sum over all MPI processes)
