 Tempo totale (Ma):   0.000000
      Nodo              Coordinata X              Coordinata Y                Velocità X                Velocità Y               Temperatura
        95                   0.60000                   0.10000                   0.09000                   0.00000                1600.00001
        96                   0.65000                   0.10000                   0.09000                   0.00000                1400.00001
        97                   0.70000                   0.10000                   0.09000                   0.00000                1199.99999
        98                   0.75000                   0.10000                   0.09000                   0.00000                 999.99999
        99                   0.80000                   0.10000                   0.09000                   0.00000                 800.00002
       100                   0.85000                   0.10000                   0.09000                   0.00000                 600.00004
       101                   0.90000                   0.10000                   0.09000                  -0.00000                 400.00006
       102                   0.95000                   0.10000                   0.09000                  -0.00000                 200.00006
       103                   1.00000                   0.10000                   0.09000                   0.00000                  50.00003
       104                   1.05000                   0.10000                   0.09000                   0.00000                   0.00000
       105                   1.10000                   0.10000                   0.09000                   0.00000                   0.00000
       106                   1.15000                   0.10000                   0.09000                   0.00000                   0.00000
       107                   1.20000                   0.10000                   0.09000                  -0.00000                   0.00000
       108                   1.25000                   0.10000                   0.09000                  -0.00000                   0.00000
       109                   1.30000                   0.10000                   0.09000                  -0.00000                   0.00000
       110                   1.35000                   0.10000                   0.09000                  -0.00000                   0.00000
       111                   1.40000                   0.10000                   0.09000                  -0.00000                   0.00000
       112                   1.45000                   0.10000                   0.09000                  -0.00000                   0.00000
       113                   1.50000                   0.10000                   0.09000                  -0.00000                   0.00000
       114                   1.55000                   0.10000                   0.09000                  -0.00000                   0.00000
       115                   1.60000                   0.10000                   0.09000                  -0.00000                   0.00000
       116                   1.65000                   0.10000                   0.09000                  -0.00000                   0.00000
       117                   1.70000                   0.10000                   0.09000                  -0.00000                   0.00000
       118                   1.75000                   0.10000                   0.09000                   0.00000                   0.00000
       119                   1.80000                   0.10000                   0.09000                   0.00000                   0.00000
       120                   1.85000                   0.10000                   0.09000                   0.00000                   0.00000
       121                   1.90000                   0.10000                   0.09000                  -0.00000                   0.00000
       122                   1.95000                   0.10000                   0.09000                   0.00000                   0.00000
       123                   2.00000                   0.10000                   0.09000                   0.00000                   0.00000
       124                   0.00000                   0.15000                   0.12750                   0.00000                3850.00017
       125                   0.05000                   0.15000                   0.12750                  -0.00000                3775.00012
       126                   0.10000                   0.15000                   0.12750                  -0.00000                3600.00005
       127                   0.15000                   0.15000                   0.12750                  -0.00000                3400.00004
       128                   0.20000                   0.15000                   0.12750                   0.00000                3200.00008
       129                   0.25000                   0.15000                   0.12750                   0.00000                3000.00010
       130                   0.30000                   0.15000                   0.12750                   0.00000                2800.00010
       131                   0.35000                   0.15000                   0.12750                  -0.00000                2600.00008
       132                   0.40000                   0.15000                   0.12750                  -0.00000                2400.00006
       133                   0.45000                   0.15000                   0.12750                  -0.00000                2200.00005
       134                   0.50000                   0.15000                   0.12750                   0.00000                2000.00003
       135                   0.55000                   0.15000                   0.12750                   0.00000                1800.00003
       136                   0.60000                   0.15000                   0.12750                   0.00000                1600.00003
       137                   0.65000                   0.15000                   0.12750                   0.00000                1400.00002
       138                   0.70000                   0.15000                   0.12750                   0.00000                1199.99999
       139                   0.75000                   0.15000                   0.12750                   0.00000                 999.99998
       140                   0.80000                   0.15000                   0.12750                   0.00000                 800.00002
       141                   0.85000                   0.15000                   0.12750                   0.00000                 600.00004
       142                   0.90000                   0.15000                   0.12750                  -0.00000                 400.00004
       143                   0.95000                   0.15000                   0.12750                  -0.00000                 200.00004
       144                   1.00000                   0.15000                   0.12750                   0.00000                  50.00002
       145                   1.05000                   0.15000                   0.12750                   0.00000                   0.00000
       146                   1.10000                   0.15000                   0.12750                   0.00000                   0.00000
       147                   1.15000                   0.15000                   0.12750                  -0.00000                   0.00000
       148                   1.20000                   0.15000                   0.12750                  -0.00000                   0.00000
       149                   1.25000                   0.15000                   0.12750                  -0.00000                   0.00000
       150                   1.30000                   0.15000                   0.12750                  -0.00000                   0.00000
       151                   1.35000                   0.15000                   0.12750                  -0.00000                   0.00000
       152                   1.40000                   0.15000                   0.12750                  -0.00000                   0.00000
