 Tempo totale (Ma):   0.000000
  Elemento    Coordinata X    Coordinata Y         Hr       Cond.   Densità         Cp           alpha       Pressione  Pressione lito  Temperatura      Divergenza   Shear Heating     Ad. Heating
        43          0.1250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000          1.7500          1.7500           0.0000    -0.17500E-07     0.36125          0.0000    
        44          0.1750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000          1.6500          1.6500           0.0000    -0.16500E-07     0.36125          0.0000    
        45          0.2250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000          1.5500          1.5500           0.0000    -0.15500E-07     0.36125          0.0000    
        46          0.2750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000          1.4500          1.4500           0.0000    -0.14500E-07     0.36125          0.0000    
        47          0.3250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000          1.3500          1.3500           0.0000    -0.13500E-07     0.36125          0.0000    
        48          0.3750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000          1.2500          1.2500           0.0000    -0.12500E-07     0.36125          0.0000    
        49          0.4250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000          1.1500          1.1500           0.0000    -0.11500E-07     0.36125          0.0000    
        50          0.4750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000          1.0500          1.0500           0.0000    -0.10500E-07     0.36125          0.0000    
        51          0.5250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         0.95000         0.95000           0.0000    -0.95000E-08     0.36125          0.0000    
        52          0.5750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         0.85000         0.85000           0.0000    -0.85000E-08     0.36125          0.0000    
        53          0.6250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         0.75000         0.75000           0.0000    -0.75000E-08     0.36125          0.0000    
        54          0.6750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         0.65000         0.65000           0.0000    -0.65000E-08     0.36125          0.0000    
        55          0.7250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         0.55000         0.55000           0.0000    -0.55000E-08     0.36125          0.0000    
        56          0.7750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         0.45000         0.45000           0.0000    -0.45000E-08     0.36125          0.0000    
        57          0.8250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         0.35000         0.35000           0.0000    -0.35000E-08     0.36125          0.0000    
        58          0.8750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         0.25000         0.25000           0.0000    -0.25000E-08     0.36125          0.0000    
        59          0.9250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         0.15000         0.15000           0.0000    -0.15000E-08     0.36125          0.0000    
        60          0.9750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000         0.50000E-01     0.50000E-01       0.0000    -0.50000E-09     0.36125          0.0000    
        61          1.0250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.50000E-01      0.0000           0.0000     0.50000E-09     0.36125         -0.0000    
        62          1.0750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.15000          0.0000           0.0000     0.15000E-08     0.36125         -0.0000    
        63          1.1250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.25000          0.0000           0.0000     0.25000E-08     0.36125         -0.0000    
        64          1.1750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.35000          0.0000           0.0000     0.35000E-08     0.36125         -0.0000    
        65          1.2250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.45000          0.0000           0.0000     0.45000E-08     0.36125         -0.0000    
        66          1.2750          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.55000          0.0000           0.0000     0.55000E-08     0.36125         -0.0000    
        67          1.3250          0.0750     0.0000     4.1500     1.0000     1.0000      0.0000        -0.65000          0.0000           0.0000     0.65000E-08     0.36125         -0.0000    
