           8 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          32 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          50 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         128 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         242 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         512 effective RAM needed for the factorization           1 Mb
effective RAM needed for the factorization:      1Mb (sum over all MPI processes)
         968 effective RAM needed for the factorization           1 Mb
effective RAM needed for the factorization:      1Mb (sum over all MPI processes)
        2048 effective RAM needed for the factorization           2 Mb
effective RAM needed for the factorization:      5Mb (sum over all MPI processes)
        4050 effective RAM needed for the factorization           5 Mb
effective RAM needed for the factorization:      8Mb (sum over all MPI processes)
        8192 effective RAM needed for the factorization          10 Mb
effective RAM needed for the factorization:     19Mb (sum over all MPI processes)
       16200 effective RAM needed for the factorization          13 Mb
effective RAM needed for the factorization:     28Mb (sum over all MPI processes)
       32768 effective RAM needed for the factorization          20 Mb
effective RAM needed for the factorization:     54Mb (sum over all MPI processes)
       65522 effective RAM needed for the factorization          33 Mb
effective RAM needed for the factorization:    103Mb (sum over all MPI processes)
      131072 effective RAM needed for the factorization          62 Mb
effective RAM needed for the factorization:    204Mb (sum over all MPI processes)
      262088 effective RAM needed for the factorization         120 Mb
effective RAM needed for the factorization:    411Mb (sum over all MPI processes)
      524288 effective RAM needed for the factorization         249 Mb
effective RAM needed for the factorization:    853Mb (sum over all MPI processes)
     1048352 effective RAM needed for the factorization         500 Mb
effective RAM needed for the factorization:   1754Mb (sum over all MPI processes)
     2097152 effective RAM needed for the factorization        1097 Mb
effective RAM needed for the factorization:   3703Mb (sum over all MPI processes)
     4193408 effective RAM needed for the factorization        2266 Mb
effective RAM needed for the factorization:   7520Mb (sum over all MPI processes)
