 Tempo totale (Ma):   0.000000
  Elemento    Coordinata X    Coordinata Y         Hr       Cond.   Densità         Cp           alpha       Pressione  Pressione lito  Temperatura       Viscosità   Shear Heating     Ad. Heating
        34     116666.6666     112500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.62977E+09     0.43770E+11    1300.0000     0.10000E+21     0.22757E-06    -0.34269E-05
        35     150000.0000     112500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.62961E+09     0.43770E+11    1300.0000     0.10000E+21     0.20950E-06    -0.32908E-05
        36     183333.3334     112500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.62941E+09     0.43771E+11    1300.0000     0.10000E+21     0.18755E-06    -0.31171E-05
        37     216666.6666     112500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.62917E+09     0.43771E+11    1300.0000     0.10000E+21     0.16221E-06    -0.29032E-05
        38     250000.0000     112500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.62889E+09     0.43771E+11    1300.0000     0.10000E+21     0.13423E-06    -0.26457E-05
        39     283333.3333     112500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.62855E+09     0.43771E+11    1300.0000     0.10000E+21     0.10464E-06    -0.23406E-05
        40     316666.6666     112500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.62817E+09     0.43772E+11    1300.0000     0.10000E+21     0.74869E-07    -0.19825E-05
        41     350000.0000     112500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.62773E+09     0.43772E+11    1300.0000     0.10000E+21     0.46963E-07    -0.15645E-05
        42     383333.3333     112500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.62724E+09     0.43773E+11    1300.0000     0.10000E+21     0.23843E-07    -0.10775E-05
        43     416666.6667     112500.0000    -0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.62669E+09     0.43773E+11    1300.0000     0.10000E+21     0.97908E-08    -0.50881E-06
        44     450000.0000     112500.0000     0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.62607E+09     0.43774E+11    1300.0000     0.10000E+21     0.11267E-07     0.16067E-06
        45     483333.3333     112500.0000     0.0000     4.1500  3200.0000  1000.0000     0.30000E-04    -0.57396E+09     0.43826E+11    1300.0000     0.10000E+21     0.37520E-07     0.96147E-06
        46     516666.6666     112500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.46373E+09     0.45324E+11    1300.0000     0.10000E+23     0.43512E-05     0.15777E-05
        47     550000.0000     112500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.39232E+09     0.45395E+11    1300.0000     0.10000E+23     0.55680E-05     0.18055E-05
        48     583333.3333     112500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.36777E+09     0.45420E+11    1300.0000     0.10000E+23     0.66834E-05     0.19667E-05
        49     616666.6667     112500.0000     0.0000     3.0300  3300.0000  1000.0000     0.30000E-04    -0.34604E+09     0.45441E+11    1300.0000     0.10000E+23     0.76077E-05     0.20853E-05
