 Tempo totale (Ma):   0.000000
      Nodo              Coordinata X              Coordinata Y                Velocità X                Velocità Y               Temperatura
        81              600000.00000              150000.00000                 -19.09558                  -6.56031                1300.00000
        82              633333.33330              150000.00000                 -17.73305                  -6.89890                1300.00000
        83              666666.66670              150000.00000                 -16.29522                  -7.16004                1300.00000
        84              700000.00000              150000.00000                 -14.79688                  -7.36418                1300.00000
        85              733333.33330              150000.00000                 -13.25004                  -7.52511                1300.00000
        86              766666.66670              150000.00000                 -11.66439                  -7.65244                1300.00000
        87              800000.00000              150000.00000                 -10.04778                  -7.75298                1300.00000
        88              833333.33330              150000.00000                  -8.40667                  -7.83163                1300.00000
        89              866666.66670              150000.00000                  -6.74648                  -7.89196                1300.00000
        90              900000.00000              150000.00000                  -5.07183                  -7.93655                1300.00000
        91              933333.33330              150000.00000                  -3.38680                  -7.96720                1300.00000
        92              966666.66670              150000.00000                  -1.69505                  -7.98514                1300.00000
        93             1000000.00000              150000.00000                   0.00000                  -7.99104                1300.00000
        94                   0.00000              225000.00000                   0.00000                  17.79073                1300.00000
        95               33333.33330              225000.00000                  -2.38500                  17.70829                1300.00000
        96               66666.66670              225000.00000                  -4.74595                  17.45984                1300.00000
        97              100000.00000              225000.00000                  -7.05846                  17.04188                1300.00000
        98              133333.33330              225000.00000                  -9.29748                  16.44848                1300.00000
        99              166666.66670              225000.00000                 -11.43692                  15.67112                1300.00000
       100              200000.00000              225000.00000                 -13.44929                  14.69847                1300.00000
       101              233333.33330              225000.00000                 -15.30539                  13.51594                1300.00000
       102              266666.66670              225000.00000                 -16.97381                  12.10530                1300.00000
       103              300000.00000              225000.00000                 -18.42080                  10.44385                1300.00000
       104              333333.33330              225000.00000                 -19.60980                   8.50363                1300.00000
       105              366666.66670              225000.00000                 -20.50181                   6.24995                1300.00000
       106              400000.00000              225000.00000                 -21.05569                   3.64048                1300.00000
       107              433333.33330              225000.00000                 -21.23084                   0.62303                1300.00000
       108              466666.66670              225000.00000                 -20.99036                  -2.85821                1300.00000
       109              500000.00000              225000.00000                 -20.29271                  -6.86482                1300.00000
       110              533333.33330              225000.00000                 -19.32012                  -7.88212                1300.00000
       111              566666.66670              225000.00000                 -18.27689                  -8.69869                1300.00000
       112              600000.00000              225000.00000                 -17.15878                  -9.34762                1300.00000
       113              633333.33330              225000.00000                 -15.96544                  -9.86232                1300.00000
       114              666666.66670              225000.00000                 -14.70301                 -10.27220                1300.00000
       115              700000.00000              225000.00000                 -13.38010                 -10.59983                1300.00000
       116              733333.33330              225000.00000                 -12.00567                 -10.86232                1300.00000
       117              766666.66670              225000.00000                 -10.58812                 -11.07244                1300.00000
       118              800000.00000              225000.00000                  -9.13502                 -11.23981                1300.00000
       119              833333.33330              225000.00000                  -7.65310                 -11.37161                1300.00000
       120              866666.66670              225000.00000                  -6.14831                 -11.47320                1300.00000
       121              900000.00000              225000.00000                  -4.62596                 -11.54855                1300.00000
       122              933333.33330              225000.00000                  -3.09086                 -11.60049                1300.00000
       123              966666.66670              225000.00000                  -1.54748                 -11.63092                1300.00000
       124             1000000.00000              225000.00000                   0.00000                 -11.64094                1300.00000
       125                   0.00000              300000.00000                   0.00000                  22.87271                1300.00000
       126               33333.33330              300000.00000                  -2.12069                  22.76409                1300.00000
       127               66666.66670              300000.00000                  -4.21871                  22.43673                1300.00000
       128              100000.00000              300000.00000                  -6.27113                  21.88610                1300.00000
       129              133333.33330              300000.00000                  -8.25447                  21.10455                1300.00000
       130              166666.66670              300000.00000                 -10.14441                  20.08115                1300.00000
       131              200000.00000              300000.00000                 -11.91559                  18.80144                1300.00000
       132              233333.33330              300000.00000                 -13.54135                  17.24713                1300.00000
       133              266666.66670              300000.00000                 -14.99361                  15.39565                1300.00000
       134              300000.00000              300000.00000                 -16.24273                  13.21975                1300.00000
