           1  0.72939404581063649     
           2  0.33859264698411046     
           3  0.19450255123191643     
           4   7.3039223687949614E-002
           5   2.7163955864691957E-002
           6   8.7553317865019624E-003
           7   4.2205981909743647E-003
           8   2.3018884479233778E-003
           9   1.4529805958602372E-003
          10   1.0045541173725765E-003
          11   5.5546468408751903E-004
          12   3.8491600443508800E-004
          13   3.0588610916151756E-004
          14   1.9833015007367374E-004
          15   1.5454561066213993E-004
          16   1.6180320295325316E-004
          17   1.4573965457706856E-004
          18   1.6430450661926601E-004
          19   1.6584874949700760E-004
          20   1.4356322375215537E-004
          21   1.5100990854694530E-004
          22   1.4587464548959848E-004
          23   1.2713913372201308E-004
          24   1.2518296008984345E-004
          25   1.0745346039061666E-004
          26   9.1076918816598048E-005
          27   8.1388881413578220E-005
          28   7.2315019311441160E-005
          29   6.6341474007941168E-005
          30   7.0120896831239426E-005
          31   6.5062220393641740E-005
          32   5.9104894011812492E-005
          33   5.8934894039075880E-005
          34   5.6013064678942432E-005
          35   5.2386002583377071E-005
          36   4.6809449686255001E-005
          37   3.7559800864890413E-005
          38   3.1922341682563723E-005
          39   2.5226830862605081E-005
          40   2.4060886696930436E-005
          41   2.2000224265151933E-005
          42   1.8553606406510754E-005
          43   1.4210666934317603E-005
          44   1.0466253962318710E-005
          45   8.1012258198749954E-006
          46   6.4577268020549839E-006
          47   4.9616492872800772E-006
          48   3.7059930930128326E-006
          49   2.8187206787966443E-006
          50   2.2849255684407946E-006
          51   1.6188141588182944E-006
          52   1.0400329557580600E-006
          53   6.4533752374274408E-007
          54   4.6794771744675015E-007
          55   2.9851919246615287E-007
          56   2.0464278711392478E-007
          57   1.6118950546376479E-007
          58   1.1955159134480965E-007
          59   1.0054705525778285E-007
          60   8.4456740856127483E-008
          61   5.9628024060332229E-008
          62   3.9041496301499311E-008
          63   2.6847837528839886E-008
          64   1.7767932641153690E-008
          65   1.3618176138588778E-008
          66   1.1848796816805511E-008
          67   8.9822747842245992E-009
