           8 CPU total time       1.4839999999999992E-003 s
          32 CPU total time       1.7059999999999992E-003 s
          50 CPU total time       9.7200000000000064E-004 s
         128 CPU total time       1.1530000000000012E-003 s
         242 CPU total time       1.5020000000000033E-003 s
         512 CPU total time       1.9750000000000045E-003 s
         968 CPU total time       2.7650000000000036E-003 s
        2048 CPU total time       5.6039999999999979E-003 s
        4050 CPU total time       1.0692999999999994E-002 s
        8192 CPU total time       1.4972999999999986E-002 s
       16200 CPU total time       2.9092999999999980E-002 s
       32768 CPU total time       5.7574000000000014E-002 s
       65522 CPU total time      0.12858599999999998      s
      131072 CPU total time      0.25334399999999990      s
      262088 CPU total time      0.62777099999999963      s
      524288 CPU total time       1.2822610000000001      s
     1048352 CPU total time       3.7387030000000010      s
     2097152 CPU total time       5.9590309999999995      s
     4193408 CPU total time       16.894193000000001      s
