           8 CPU solution time    1.7099999999999928E-004 s
          32 CPU solution time    1.4600000000000030E-004 s
          50 CPU solution time    1.4499999999999930E-004 s
         128 CPU solution time    2.1200000000000038E-004 s
         242 CPU solution time    2.0599999999999785E-004 s
         512 CPU solution time    2.9399999999999912E-004 s
         968 CPU solution time    3.3299999999999996E-004 s
        2048 CPU solution time    6.6199999999999939E-004 s
        4050 CPU solution time    1.1770000000000044E-003 s
        8192 CPU solution time    2.4419999999999997E-003 s
       16200 CPU solution time    4.4800000000000118E-003 s
       32768 CPU solution time    7.9929999999999723E-003 s
       65522 CPU solution time    1.6944000000000070E-002 s
      131072 CPU solution time    3.4387999999999863E-002 s
      262088 CPU solution time    6.8085999999999203E-002 s
      524288 CPU solution time   0.15549299999999988      s
     1048352 CPU solution time   0.33099199999999485      s
     2097152 CPU solution time   0.58770699999999465      s
     4193408 CPU solution time    1.2435509999999965      s
