           8 CPU total time       3.1900000000000053E-003 s
          32 CPU total time       2.4999999999999953E-003 s
          50 CPU total time       1.8740000000000007E-003 s
         128 CPU total time       2.4800000000000030E-003 s
         242 CPU total time       2.7889999999999998E-003 s
         512 CPU total time       6.8629999999999941E-003 s
         968 CPU total time       7.4940000000000007E-003 s
        2048 CPU total time       1.6126000000000001E-002 s
        4050 CPU total time       3.3829999999999999E-002 s
        8192 CPU total time       8.1255999999999995E-002 s
       16200 CPU total time      0.18708700000000000      s
       32768 CPU total time      0.43000299999999991      s
       65522 CPU total time      0.98664699999999983      s
      131072 CPU total time       2.0888200000000001      s
      262088 CPU total time       4.5763079999999992      s
      524288 CPU total time       10.281963000000001      s
     1048352 CPU total time       24.736935000000003      s
     2097152 CPU total time       62.730139999999999      s
     4193408 CPU total time       162.96651300000002      s
