           8 CPU total time       1.1359999999999999E-003 s
          32 CPU total time       9.1799999999999868E-004 s
          50 CPU total time       9.1600000000000015E-004 s
         128 CPU total time       1.0570000000000024E-003 s
         242 CPU total time       1.1870000000000006E-003 s
         512 CPU total time       1.8959999999999984E-003 s
         968 CPU total time       2.2000000000000006E-003 s
        2048 CPU total time       4.2700000000000030E-003 s
        4050 CPU total time       8.3190000000000000E-003 s
        8192 CPU total time       1.9314999999999999E-002 s
       16200 CPU total time       3.3859000000000000E-002 s
       32768 CPU total time       7.9246999999999984E-002 s
       65522 CPU total time      0.21789899999999995      s
      131072 CPU total time      0.33663500000000002      s
      262088 CPU total time      0.76568499999999995      s
      524288 CPU total time       2.0497160000000001      s
     1048352 CPU total time       9.6306490000000000      s
     2097152 CPU total time       13.597915999999998      s
     4193408 CPU total time       48.939222000000001      s
