           8 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          32 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
          50 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         128 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         242 effective RAM needed for the factorization           0 Mb
effective RAM needed for the factorization:      0Mb (sum over all MPI processes)
         512 effective RAM needed for the factorization           1 Mb
effective RAM needed for the factorization:      1Mb (sum over all MPI processes)
         968 effective RAM needed for the factorization           2 Mb
effective RAM needed for the factorization:      2Mb (sum over all MPI processes)
        2048 effective RAM needed for the factorization           4 Mb
effective RAM needed for the factorization:     11Mb (sum over all MPI processes)
        4050 effective RAM needed for the factorization           9 Mb
effective RAM needed for the factorization:     16Mb (sum over all MPI processes)
        8192 effective RAM needed for the factorization          19 Mb
effective RAM needed for the factorization:     33Mb (sum over all MPI processes)
       16200 effective RAM needed for the factorization          22 Mb
effective RAM needed for the factorization:     53Mb (sum over all MPI processes)
       32768 effective RAM needed for the factorization          28 Mb
effective RAM needed for the factorization:     89Mb (sum over all MPI processes)
       65522 effective RAM needed for the factorization          40 Mb
effective RAM needed for the factorization:    155Mb (sum over all MPI processes)
      131072 effective RAM needed for the factorization          58 Mb
effective RAM needed for the factorization:    268Mb (sum over all MPI processes)
      262088 effective RAM needed for the factorization         108 Mb
effective RAM needed for the factorization:    487Mb (sum over all MPI processes)
      524288 effective RAM needed for the factorization         199 Mb
effective RAM needed for the factorization:    991Mb (sum over all MPI processes)
     1048352 effective RAM needed for the factorization         412 Mb
effective RAM needed for the factorization:   2390Mb (sum over all MPI processes)
     2097152 effective RAM needed for the factorization         876 Mb
effective RAM needed for the factorization:   4145Mb (sum over all MPI processes)
     4193408 effective RAM needed for the factorization        1451 Mb
effective RAM needed for the factorization:   8727Mb (sum over all MPI processes)
